Country,EdLevel,DevType,LanguageHaveWorkedWith,RemoteWork,ConvertedCompYearly,YearsCodePro
Sri Lanka,Secondary School,Other (please specify):,Dart;HTML/CSS;Java;JavaScript;Kotlin;TypeScript,Remote,12642.0,2
France,Master's,"Developer, back-end",Elixir;JavaScript,"Hybrid (some remote, some in-person)",69814.0,10
Montenegro,Some College,"Developer, back-end",Go;SQL,"Hybrid (some remote, some in-person)",38129.0,12
UK,Master's,Data or business analyst,Julia,"Hybrid (some remote, some in-person)",70063.0,6
Germany,Master's,"Developer, full-stack",HTML/CSS;Java;JavaScript;TypeScript,In-person,107406.0,6
India,Bachelor's,Student,Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Perl;Python;SQL,In-person,16749.0,1
Ethiopia,Bachelor's,"Developer, full-stack",C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Lisp;PHP,"Hybrid (some remote, some in-person)",250.0,10
Germany,Master's,"Developer, AI",Bash/Shell (all shells);Python,"Hybrid (some remote, some in-person)",80555.0,5
Spain,Master's,Research & Development role,Bash/Shell (all shells);C;Julia;PowerShell;Python;SQL,"Hybrid (some remote, some in-person)",43285.0,8
Switzerland,Bachelor's,"Developer, embedded applications or devices",C;C++;Groovy;PowerShell;Python,"Hybrid (some remote, some in-person)",133700.0,15
Czech Republic,Bachelor's,"Developer, full-stack",C#;JavaScript;SQL;TypeScript,In-person,2823.0,3
India,Bachelor's,"Developer, back-end",C++;Go;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,"Hybrid (some remote, some in-person)",59817.0,10
Norway,Secondary School,"Developer, back-end",Java,"Hybrid (some remote, some in-person)",65514.0,3
Germany,Master's,"Developer, mobile",Java;Kotlin;Swift,"Hybrid (some remote, some in-person)",57754.0,10
Czech Republic,Master's,"Developer, back-end",Java;Kotlin,In-person,108587.0,30
Netherlands,Master's,"Developer, embedded applications or devices",C;C++;Python,"Hybrid (some remote, some in-person)",80555.0,
Kazakhstan,Bachelor's,"Developer, back-end",C#,Remote,56400.0,2
Italy,Bachelor's,"Developer, back-end",Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python,In-person,24703.0,6
India,Bachelor's,"Developer, full-stack",Assembly;C++;JavaScript;Python;TypeScript,"Hybrid (some remote, some in-person)",11963.0,2
Ukraine,Bachelor's,"Developer, front-end",JavaScript;TypeScript,Remote,67943.0,1
Sweden,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Research & Development role,Julia,Remote,11923.0,15
Finland,Bachelor's,"Developer, back-end",Bash/Shell (all shells);Go;Groovy;JavaScript;Python,Remote,21481.0,4
Germany,Master's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,"Hybrid (some remote, some in-person)",13963.0,17
France,Master's,"Developer, mobile",Kotlin,"Hybrid (some remote, some in-person)",77332.0,2
Sweden,Secondary School,"Developer, full-stack",Elixir;HTML/CSS;JavaScript;Python;SQL;TypeScript,Remote,180000.0,7
South Africa,Some College,"Developer, back-end",Bash/Shell (all shells);HTML/CSS;Java;Kotlin;PHP;SQL,"Hybrid (some remote, some in-person)",55273.0,9
Hungary,Some College,"Developer, full-stack",HTML/CSS;JavaScript;Rust;TypeScript,Remote,27175.0,15
France,Master's,"Developer, full-stack",Bash/Shell (all shells);Java;JavaScript;PHP;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",70888.0,16
Norway,Master's,"Developer, front-end",C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Hybrid (some remote, some in-person)",74873.0,11
India,Bachelor's,"Developer, front-end",C;C++;HTML/CSS;Java;JavaScript,In-person,239.0,5
UK,Bachelor's,"Developer, back-end",Bash/Shell (all shells);C#;C++;F#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Scala;Solidity;SQL;TypeScript;VBA,"Hybrid (some remote, some in-person)",127388.0,4
Portugal,Master's,"Developer, full-stack",Elixir;Erlang;SQL,Remote,96666.0,12
Croatia,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;C++;Java;Lua;MicroPython;Perl;PowerShell;Python;SQL,In-person,85925.0,
Germany,Some College,"Developer, front-end",Bash/Shell (all shells);GDScript;HTML/CSS;JavaScript;Python;SQL;Swift;TypeScript,"Hybrid (some remote, some in-person)",91295.0,3
Spain,Some College,DevOps specialist,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Remote,5478.0,1
Spain,Bachelor's,"Developer, mobile",Java,In-person,73036.0,19
Germany,Associate,"Developer, desktop or enterprise applications",Bash/Shell (all shells);C#;C++;Delphi;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;Perl;PHP;PowerShell;Python;Rust;SQL;TypeScript;VBA,Remote,91295.0,3
UK,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,Bash/Shell (all shells);Fortran;Julia;Python,In-person,50955.0,12
Switzerland,Bachelor's,"Developer, front-end",Java;JavaScript;TypeScript,"Hybrid (some remote, some in-person)",138157.0,3
India,Bachelor's,Data scientist or machine learning specialist,Perl;Python;R;SQL,In-person,5982.0,11
Ukraine,Master's,Data engineer,Bash/Shell (all shells);Python,Remote,72000.0,10
Germany,Master's,"Developer, back-end",Bash/Shell (all shells);C++;Java;Python,Remote,102036.0,3
UK,Master's,"Developer, full-stack",HTML/CSS;JavaScript;SQL;Visual Basic (.Net),Remote,50955.0,11
Italy,Secondary School,Engineering manager,C#;Delphi;Java;Python;SQL,"Hybrid (some remote, some in-person)",64444.0,2
Greece,Master's,"Developer, full-stack",Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Remote,64444.0,5
USA,Bachelor's,Engineering manager,C++;Elixir;Erlang;Python;Solidity,In-person,720000.0,7
Romania,Some College,"Developer, front-end",HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,"Hybrid (some remote, some in-person)",23735.0,5
Greece,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL;TypeScript,Remote,48333.0,
Spain,Associate,"Developer, front-end",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",30074.0,20
Germany,Master's,"Developer, desktop or enterprise applications",Bash/Shell (all shells);C#;C++;PowerShell;Python;SQL,"Hybrid (some remote, some in-person)",107406.0,13
Denmark,Bachelor's,"Developer, back-end",C#;JavaScript;SQL,"Hybrid (some remote, some in-person)",84961.0,13
India,Bachelor's,Research & Development role,C;Dart;HTML/CSS;JavaScript;Python,Remote,1196.0,10
India,Bachelor's,"Developer, mobile",Dart;Java;Kotlin;SQL,Remote,17945.0,Less than 1 year
Germany,Bachelor's,Product manager,Bash/Shell (all shells);C#;HTML/CSS;MATLAB;Python;SQL;TypeScript,In-person,60147.0,3
Bulgaria,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL,"Hybrid (some remote, some in-person)",41192.0,4
Switzerland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,Julia,"Hybrid (some remote, some in-person)",95819.0,3
Russian Federation,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack",Go;HTML/CSS;JavaScript;Kotlin;PHP;SQL;TypeScript,Remote,22409.0,
India,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL,Remote,5982.0,15
France,Master's,"Developer, full-stack",Bash/Shell (all shells);Java,In-person,37592.0,6
Pakistan,Bachelor's,"Developer, front-end",Apex;Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL;TypeScript,In-person,10767.0,6
UK,Master's,"Developer, back-end",Go;Java;JavaScript;Python;Rust;Scala;TypeScript,Remote,127388.0,5
Spain,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Project manager,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL,Remote,64444.0,10
Pakistan,Bachelor's,"Developer, mobile",Dart;JavaScript;Python,In-person,8614.0,28
India,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;Python;SQL;TypeScript,In-person,4785.0,4
Germany,Bachelor's,"Developer, back-end",Bash/Shell (all shells);Java,In-person,64444.0,7
Brazil,Bachelor's,"Developer, full-stack",C++;Delphi;HTML/CSS;JavaScript;TypeScript,In-person,44757.0,11
USA,Some College,"Developer, front-end",HTML/CSS;JavaScript;Ruby;SQL,Remote,103000.0,
Czech Republic,Some College,"Developer, full-stack",JavaScript;Python,"Hybrid (some remote, some in-person)",4343.0,28
Switzerland,Some College,Data engineer,Assembly;Bash/Shell (all shells);C;HTML/CSS;PowerShell;Python;SQL;VBA,Remote,189409.0,31
Poland,Master's,"Developer, back-end",Bash/Shell (all shells);C;C++;GDScript;HTML/CSS;JavaScript;Lisp;Lua;Python;Ruby;Rust;SQL,Remote,56917.0,17
Spain,Associate,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL,In-person,24166.0,Less than 1 year
Bulgaria,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Remote,3946.0,
Slovakia,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,In-person,44037.0,16
Germany,Bachelor's,"Developer, desktop or enterprise applications",Delphi;PowerShell,"Hybrid (some remote, some in-person)",75184.0,11
Germany,Secondary School,Student,C#;Delphi;Java;Rust,In-person,10259.0,15
Sweden,Master's,Developer Experience,Groovy;Kotlin,In-person,60092.0,
Sweden,Master's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Remote,85846.0,
France,Master's,"Engineer, site reliability",Bash/Shell (all shells);Go;Java;JavaScript;PowerShell,Remote,89147.0,8
Sweden,Master's,"Developer, full-stack",Assembly;Bash/Shell (all shells);C;C++;Lisp;MATLAB,"Hybrid (some remote, some in-person)",83556.0,3
UK,Bachelor's,"Developer, back-end",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Julia;SQL;TypeScript,"Hybrid (some remote, some in-person)",124840.0,5
Germany,Master's,"Developer, back-end",Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",107406.0,2
Netherlands,Associate,"Developer, full-stack",Bash/Shell (all shells);JavaScript;PowerShell;Python;SQL,"Hybrid (some remote, some in-person)",80555.0,2
Ukraine,Bachelor's,"Developer, mobile",Swift,Remote,17772.0,10
Spain,Bachelor's,"Developer, back-end",Bash/Shell (all shells);Java;SQL,Remote,59073.0,13
Austria,Some College,"Developer, desktop or enterprise applications",C#;HTML/CSS;Python,"Hybrid (some remote, some in-person)",64444.0,
Switzerland,Master's,"Developer, full-stack",Dart;Groovy;HTML/CSS;Java;Kotlin;PowerShell;Python;TypeScript;VBA,"Hybrid (some remote, some in-person)",211692.0,Less than 1 year
UK,Something else,"Developer, full-stack",Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,In-person,30573.0,8
Georgia,Bachelor's,"Senior Executive (C-Suite, VP, etc.)",C#;Java;PowerShell;Rust;SQL;TypeScript,In-person,130000.0,6
Croatia,Master's,"Developer, mobile",JavaScript;Kotlin,Remote,161109.0,7
Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,Bash/Shell (all shells);Julia;R;SQL,In-person,64444.0,5
Luxembourg,Master's,Engineering manager,C;C#;C++;Java;JavaScript;MATLAB;Perl;Python;Rust;SQL;TypeScript,"Hybrid (some remote, some in-person)",128887.0,2
Germany,Secondary School,"Developer, full-stack",Dart;HTML/CSS;Java;JavaScript;PHP;Python;TypeScript,"Hybrid (some remote, some in-person)",64444.0,19
Netherlands,Master's,"Developer, mobile",Bash/Shell (all shells);Groovy;Java;Kotlin;Python;Rust,"Hybrid (some remote, some in-person)",64444.0,10
South Africa,Some College,Engineering manager,JavaScript;Python;SQL,Remote,120000.0,3
Sweden,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, desktop or enterprise applications",Bash/Shell (all shells);Java;Ruby,"Hybrid (some remote, some in-person)",53797.0,23
Azerbaijan,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;Python;SQL;TypeScript,In-person,20140.0,8
Czech Republic,Bachelor's,"Developer, full-stack",Java;Kotlin;Swift;TypeScript,In-person,78183.0,15
Austria,Secondary School,"Developer, mobile",Kotlin,"Hybrid (some remote, some in-person)",62296.0,3
France,Master's,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL;TypeScript,In-person,34370.0,
France,Master's,"Developer, full-stack",C#;HTML/CSS;JavaScript;Python;R;Ruby;SQL;TypeScript;VBA,"Hybrid (some remote, some in-person)",46722.0,11
Russian Federation,Bachelor's,"Developer, back-end",Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL,Remote,31978.0,18
Poland,Master's,"Developer, mobile",Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;PowerShell;Python;Swift;TypeScript,Remote,61866.0,4
UK,Master's,"Developer, full-stack",Bash/Shell (all shells);C#;TypeScript,Remote,66242.0,Less than 1 year
Austria,Master's,Data scientist or machine learning specialist,Assembly;Delphi;JavaScript;MATLAB;Python,"Hybrid (some remote, some in-person)",85925.0,16
India,Bachelor's,"Developer, full-stack",C++;HTML/CSS;Java;JavaScript;MicroPython;Python,In-person,10767.0,
Denmark,Master's,"Developer, back-end",JavaScript;Python;SQL,"Hybrid (some remote, some in-person)",118082.0,11
Georgia,Bachelor's,"Developer, back-end",Bash/Shell (all shells);C++;Go;Python;SQL,Remote,50400.0,13
Malaysia,Bachelor's,"Developer, full-stack",Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL,Remote,24918.0,
Germany,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,"Hybrid (some remote, some in-person)",80555.0,Less than 1 year
Greece,Some College,"Developer, full-stack",C#;HTML/CSS;JavaScript;PHP;SQL,"Hybrid (some remote, some in-person)",20364.0,3
South Africa,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Hybrid (some remote, some in-person)",36697.0,1
Germany,Primary School,Data scientist or machine learning specialist,Bash/Shell (all shells);C;HTML/CSS;MATLAB;PHP;Python;R;SQL,Remote,10741.0,
Spain,Master's,DevOps specialist,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Remote,40814.0,4
USA,Master's,"Developer, full-stack",Bash/Shell (all shells);Clojure;GDScript;Go;HTML/CSS;JavaScript;Lua;Python;SQL,Remote,126000.0,
Russian Federation,Some College,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,In-person,5378.0,Less than 1 year
Germany,Secondary School,"Developer, back-end",Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript,Remote,38666.0,8
USA,Master's,"Developer, desktop or enterprise applications",C#;C++;Java;Perl;PowerShell;SQL,Remote,109000.0,6
United Arab Emirates,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,In-person,65343.0,21
USA,Secondary School,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Remote,76000.0,7
Greece,Bachelor's,Data engineer,Go;Java;Python;SQL,Remote,143924.0,8
Belgium,Master's,Security professional,C#;C++;Groovy;Java;Python,"Hybrid (some remote, some in-person)",53703.0,10
Germany,Secondary School,DevOps specialist,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,"Hybrid (some remote, some in-person)",62296.0,8
India,Bachelor's,"Developer, full-stack",C;C++;HTML/CSS;JavaScript;PHP;Python;SQL,Remote,4307.0,1
Portugal,Some College,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Lua;PHP;SQL,Remote,15037.0,10
India,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,In-person,5527.0,15
Netherlands,Bachelor's,"Developer, full-stack",C;C#;C++;HTML/CSS;JavaScript;Python;Rust;TypeScript,In-person,64444.0,17
UK,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, back-end",Java;Kotlin;Python;Swift,Remote,61146.0,2
France,Master's,"Developer, full-stack",C;HTML/CSS;JavaScript;PHP;SQL;Swift,"Hybrid (some remote, some in-person)",48977.0,23
Romania,Master's,"Developer, full-stack",C#;JavaScript;PowerShell,In-person,3884.0,7
Georgia,Bachelor's,"Developer, full-stack",Java;JavaScript;SQL;TypeScript,In-person,55933.0,19
South Africa,Bachelor's,"Developer, full-stack",Go;HTML/CSS;JavaScript;Python,Remote,48428.0,12
Norway,Master's,"Developer, back-end",Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,"Hybrid (some remote, some in-person)",102950.0,1
Hungary,Master's,"Developer, full-stack",HTML/CSS;Java;Kotlin;TypeScript,Remote,21197.0,2
France,Master's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,"Hybrid (some remote, some in-person)",40814.0,14
India,Master's,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,In-person,7178.0,4
Austria,Associate,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,"Hybrid (some remote, some in-person)",54777.0,
Germany,Bachelor's,"Developer, desktop or enterprise applications",Bash/Shell (all shells);C;Java;Python;SQL;Visual Basic (.Net),"Hybrid (some remote, some in-person)",45111.0,2
Germany,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C++;Go;Java;JavaScript;Lua;PHP;PowerShell;Python;TypeScript,In-person,93443.0,4
UK,Bachelor's,"Developer, back-end",C#;HTML/CSS;JavaScript,Remote,63694.0,6
Switzerland,Master's,"Developer, full-stack",C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,In-person,124787.0,30
Russian Federation,Bachelor's,Blockchain,Bash/Shell (all shells);Java;Kotlin;Python;Rust,Remote,54053.0,9
Germany,Master's,Data or business analyst,Python;SQL,"Hybrid (some remote, some in-person)",91295.0,1
Morocco,Master's,"Developer, back-end",Bash/Shell (all shells);Dart;Java;SQL;TypeScript,"Hybrid (some remote, some in-person)",29546.0,20
Germany,Master's,Educator,Bash/Shell (all shells);C;C++;Go;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;Python;Rust;SQL,In-person,48333.0,4
Czech Republic,Some College,"Developer, back-end",JavaScript;PHP;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",21717.0,5
Ukraine,Master's,"Developer, front-end",Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Remote,36532.0,1
UK,Master's,"Developer, back-end",Java;Python,"Hybrid (some remote, some in-person)",191082.0,2
Germany,Some College,"Developer, embedded applications or devices",C#;Delphi;PHP,"Hybrid (some remote, some in-person)",128887.0,16
USA,Associate,"Developer, front-end",C;C#;C++,In-person,4.0,10
India,Bachelor's,"Developer, full-stack",Java;JavaScript,In-person,5735.0,41
Ireland,Master's,Research & Development role,C#;Go;Python;Scala,"Hybrid (some remote, some in-person)",157887.0,Less than 1 year
USA,Master's,Product manager,Bash/Shell (all shells);HTML/CSS;SQL,"Hybrid (some remote, some in-person)",160000.0,Less than 1 year
Germany,Secondary School,"Developer, full-stack",C#;Groovy;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,"Hybrid (some remote, some in-person)",4833.0,Less than 1 year
South Africa,Some College,"Developer, back-end",Bash/Shell (all shells);Delphi;PowerShell;Python;SQL,"Hybrid (some remote, some in-person)",51172.0,2
Germany,Master's,"Developer, embedded applications or devices",C#;HTML/CSS;JavaScript;Kotlin;Python,Remote,7153.0,2
Belgium,Master's,Academic researcher,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,"Hybrid (some remote, some in-person)",66592.0,
Poland,Bachelor's,Educator,C;C++;Java;Kotlin;Python,In-person,21777.0,21
USA,Bachelor's,"Developer, back-end",C#;SQL;Visual Basic (.Net),Remote,100000.0,16
France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, back-end",Java;Kotlin;SQL,"Hybrid (some remote, some in-person)",128887.0,4
New Zealand,Secondary School,"Developer, embedded applications or devices",Bash/Shell (all shells);C;C++;Go;HTML/CSS;JavaScript;Lua;Python;SQL,"Hybrid (some remote, some in-person)",49165.0,Less than 1 year
Paraguay,Some College,"Developer, full-stack",Java;JavaScript,Remote,19903.0,8
Sweden,Secondary School,"Developer, full-stack",Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,Remote,76307.0,9
Germany,Bachelor's,"Developer, back-end",Apex;HTML/CSS;JavaScript;Python;SQL,Remote,96666.0,3
Ukraine,Master's,"Developer, back-end",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Remote,62000.0,7
USA,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack",Ada;C;C++;JavaScript;Rust,"Hybrid (some remote, some in-person)",95000.0,5
UK,Some College,"Developer, mobile",TypeScript,"Hybrid (some remote, some in-person)",40764.0,12
Brazil,Some College,"Developer, mobile",C#;Dart;SQL;VBA;Visual Basic (.Net),"Hybrid (some remote, some in-person)",7385.0,7
USA,Some College,Engineering manager,Apex;SQL,Remote,180.0,2
Brazil,Associate,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Remote,70368.0,3
Poland,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);JavaScript;Python,Remote,61866.0,3
France,Master's,"Developer, full-stack",C#;HTML/CSS;JavaScript;TypeScript,In-person,37592.0,10
Germany,Master's,"Developer, back-end",Java;Kotlin,"Hybrid (some remote, some in-person)",85925.0,21
Turkey,Master's,"Developer, embedded applications or devices",Bash/Shell (all shells);C;C++;Go;Python,In-person,2473.0,14
Canada,Master's,"Developer, desktop or enterprise applications",Python,"Hybrid (some remote, some in-person)",167194.0,4
Switzerland,Bachelor's,"Developer, desktop or enterprise applications",C#,"Hybrid (some remote, some in-person)",104732.0,1
Spain,Something else,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL,In-person,25777.0,14
France,Master's,"Developer, back-end",Java;Kotlin;Scala;SQL,"Hybrid (some remote, some in-person)",40814.0,10
Egypt,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;Python;SQL,Remote,3554.0,17
Croatia,Master's,"Developer, back-end",C#;HTML/CSS;TypeScript,Remote,20622.0,
Switzerland,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Hybrid (some remote, some in-person)",149299.0,12
Netherlands,Associate,"Developer, full-stack",HTML/CSS;JavaScript;Kotlin;Lua,In-person,32222.0,
Netherlands,Bachelor's,"Developer, back-end",Java,"Hybrid (some remote, some in-person)",214812.0,3
France,Master's,"Developer, embedded applications or devices",C;MicroPython;Python;Rust,Remote,125665.0,2
Germany,Master's,"Developer, back-end",Scala;SQL,Remote,109984.0,
Brazil,Secondary School,"Developer, full-stack",C;GDScript;HTML/CSS;JavaScript;PHP;Python;SQL,In-person,3384.0,15
France,Associate,"Developer, desktop or enterprise applications",Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PHP;Python;SQL,In-person,30074.0,4
Germany,Some College,System administrator,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;Rust;SQL,In-person,48333.0,7
France,Master's,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,"Hybrid (some remote, some in-person)",41888.0,15
Netherlands,Bachelor's,Data engineer,Python;SQL,"Hybrid (some remote, some in-person)",53703.0,2
Switzerland,Bachelor's,"Developer, front-end",JavaScript;TypeScript,"Hybrid (some remote, some in-person)",121444.0,6
Germany,Master's,DevOps specialist,Bash/Shell (all shells);PowerShell;Python;VBA,"Hybrid (some remote, some in-person)",64444.0,3
India,Some College,"Developer, full-stack",C++;HTML/CSS;JavaScript;PHP;SQL;TypeScript,In-person,144.0,
Czech Republic,Master's,"Developer, full-stack",Java;Kotlin,In-person,33879.0,1
USA,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;Python;Ruby;SQL,"Hybrid (some remote, some in-person)",82000.0,3
Ukraine,Master's,"Developer, front-end",JavaScript;TypeScript,Remote,79.0,
Greece,Master's,"Developer, back-end",HTML/CSS;Java;JavaScript;SQL,"Hybrid (some remote, some in-person)",22555.0,28
Bulgaria,Secondary School,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Python;Rust;SQL;TypeScript,"Hybrid (some remote, some in-person)",12083.0,15
Australia,Bachelor's,"Developer, back-end",C#;HTML/CSS;PowerShell,Remote,92492.0,3
Netherlands,Associate,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;SQL,Remote,150369.0,15
India,Master's,"Developer, back-end",HTML/CSS;JavaScript;PHP;SQL,Remote,31105.0,5
Serbia,Master's,"Developer, back-end",Bash/Shell (all shells);C;C++;Clojure;Dart;GDScript;Go;HTML/CSS;Java;JavaScript;Lua;PHP;Python;Rust;SQL,Remote,90221.0,11
Germany,Bachelor's,"Developer, back-end",Assembly;Groovy;Java,"Hybrid (some remote, some in-person)",64444.0,3
USA,Master's,"Developer, full-stack",C#;HTML/CSS;Java;JavaScript;Python;SQL,"Hybrid (some remote, some in-person)",104000.0,3
Poland,Bachelor's,"Developer, mobile",GDScript;HTML/CSS;JavaScript;PHP;Swift;TypeScript,In-person,19302.0,2
Germany,Some College,"Developer, back-end",Bash/Shell (all shells);GDScript;HTML/CSS;JavaScript;Scala;SQL,"Hybrid (some remote, some in-person)",91295.0,3
Pakistan,Bachelor's,"Developer, front-end",Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;TypeScript,Remote,13421.0,Less than 1 year
UK,Bachelor's,"Developer, back-end",C#;PowerShell;SQL,"Hybrid (some remote, some in-person)",104458.0,1
Germany,Master's,"Developer, full-stack",Dart;Python;Scala;SQL,Remote,95592.0,36
Germany,Master's,"Developer, desktop or enterprise applications",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;VBA,Remote,71962.0,17
UK,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;Python;SQL;TypeScript;VBA,Remote,89172.0,
Finland,Bachelor's,"Developer, full-stack",C#;Java;JavaScript;Kotlin;TypeScript,"Hybrid (some remote, some in-person)",57248.0,25
Japan,Master's,"Developer, full-stack",Bash/Shell (all shells);C;C++;Go;Java;JavaScript;Python;Ruby;Rust;Solidity,"Hybrid (some remote, some in-person)",63644.0,5
India,Master's,"Developer, front-end",C;C++;HTML/CSS;Java;Prolog;Python;R,"Hybrid (some remote, some in-person)",8374.0,6
Ukraine,Some College,"Developer, front-end",C;HTML/CSS;JavaScript,"Hybrid (some remote, some in-person)",938.0,9
Spain,Some College,"Developer, back-end",HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Remote,59073.0,17
Sweden,Master's,Research & Development role,HTML/CSS;JavaScript;Python;SQL,"Hybrid (some remote, some in-person)",47692.0,Less than 1 year
Germany,Some College,"Developer, full-stack",Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Lisp;PHP;SQL;TypeScript,"Hybrid (some remote, some in-person)",42962.0,8
